,endTime,artistName,trackName,msPlayed,uniqueID,inLibrary,album,track_uri
8480,2021-01-05 13:51,CHANGMO,아름다워,220290,CHANGMO:아름다워,0,,
8481,2021-01-05 13:52,Zion.T,Eat,37051,Zion.T:Eat,0,,
8482,2021-01-05 13:55,BLACKPINK,Lovesick Girls,192765,BLACKPINK:Lovesick Girls,0,,
8483,2021-01-05 13:59,Red Velvet,Psycho,210560,Red Velvet:Psycho,0,,
8484,2021-01-05 14:02,TWICE,CRY FOR ME,204167,TWICE:CRY FOR ME,0,,
8485,2021-01-05 14:05,TWICE,Heart Shaker,186893,TWICE:Heart Shaker,0,,
8486,2021-01-05 14:06,Girls' Generation,I Got A Boy,55113,Girls' Generation:I Got A Boy,0,,
8487,2021-01-05 14:10,(G)I-DLE,LATATA,202772,(G)I-DLE:LATATA,0,,
8488,2021-01-05 14:10,GFRIEND,Me Gustas Tu,6635,GFRIEND:Me Gustas Tu,0,,
8489,2021-01-05 14:11,Red Velvet,Peek-A-Boo,58142,Red Velvet:Peek-A-Boo,0,,
8490,2021-01-05 14:14,IZ*ONE,Secret Story of the Swan,5503,IZ*ONE:Secret Story of the Swan,0,,
8491,2021-01-05 14:14,MAMAMOO,HIP,195306,MAMAMOO:HIP,0,,
8492,2021-01-05 14:14,TWICE,Knock Knock,9613,TWICE:Knock Knock,0,,
8493,2021-01-05 14:14,SOMI,Outta My Head,7042,SOMI:Outta My Head,0,,
8494,2021-01-05 14:18,IZ*ONE,La Vie en Rose,218993,IZ*ONE:La Vie en Rose,0,,
8495,2021-01-05 14:21,BLACKPINK,DDU-DU DDU-DU,16811,BLACKPINK:DDU-DU DDU-DU,0,,
8496,2021-01-05 14:21,TWICE,MORE & MORE,191383,TWICE:MORE & MORE,0,,
8497,2021-01-05 14:22,Red Velvet,Red Flavor,3808,Red Velvet:Red Flavor,0,,
8498,2021-01-05 14:22,Girls' Generation,Lion Heart,5201,Girls' Generation:Lion Heart,0,,
8499,2021-01-05 14:22,aespa,Black Mamba,3250,aespa:Black Mamba,0,,
8500,2021-01-05 14:22,BLACKPINK,Forever Young,2693,BLACKPINK:Forever Young,0,,
8501,2021-01-05 14:22,GFRIEND,Crossroads,2972,GFRIEND:Crossroads,0,,
8502,2021-01-05 14:22,TWICE,Dance The Night Away,3157,TWICE:Dance The Night Away,0,,
8503,2021-01-05 14:22,TWICE,What is Love,2507,TWICE:What is Love,0,,
8504,2021-01-05 14:22,SUNMI,Gashina,3157,SUNMI:Gashina,0,,
8505,2021-01-05 14:22,IZ*ONE,FIESTA,3622,IZ*ONE:FIESTA,0,,
8506,2021-01-05 14:25,IZ*ONE,Panorama,175171,IZ*ONE:Panorama,0,,
8507,2021-01-06 03:25,IU,eight(Prod.&Feat. SUGA of BTS),167573,IU:eight(Prod.&Feat. SUGA of BTS),0,,
8508,2021-01-06 03:29,ITZY,달라달라 (DALLA DALLA),6455,ITZY:달라달라 (DALLA DALLA),0,,
8509,2021-01-06 03:29,TWICE,CHEER UP,208853,TWICE:CHEER UP,0,,
8510,2021-01-06 03:30,GFRIEND,Rough,8173,GFRIEND:Rough,0,,
8511,2021-01-06 03:30,BLACKPINK,WHISTLE,47647,BLACKPINK:WHISTLE,0,,
8512,2021-01-06 03:30,IU,BBIBBI,23127,IU:BBIBBI,0,,
8513,2021-01-06 03:34,IZ*ONE,Violeta,200913,IZ*ONE:Violeta,0,,
8514,2021-01-06 03:37,BLACKPINK,BOOMBAYAH,183852,BLACKPINK:BOOMBAYAH,0,,
8515,2021-01-06 03:40,TWICE,Like Ooh-Ahh,215080,TWICE:Like Ooh-Ahh,0,,
8516,2021-01-06 03:44,Apink,Dumhdurum,204236,Apink:Dumhdurum,0,,
8517,2021-01-06 03:47,Girls' Generation,Gee,201160,Girls' Generation:Gee,0,,
8518,2021-01-06 03:48,OH MY GIRL,Dolphin,54734,OH MY GIRL:Dolphin,0,,
8519,2021-01-06 07:34,NCT 127,Kick It,2600,NCT 127:Kick It,0,,
8520,2021-01-06 10:15,NCT U,My Everything,1490,NCT U:My Everything,0,,
8521,2021-01-06 10:15,Jhené Aiko,B.S. (feat. H.E.R.),1200,Jhené Aiko:B.S. (feat. H.E.R.),0,,
8522,2021-01-06 10:20,NCT U,From Home,260320,NCT U:From Home,0,,
8523,2021-01-06 10:23,GOT7,NOT BY THE MOON,204701,GOT7:NOT BY THE MOON,0,,
8524,2021-01-06 10:26,EXO,Ko Ko Bop,190422,EXO:Ko Ko Bop,0,,
8525,2021-01-06 10:30,EXO,Love Shot,200306,EXO:Love Shot,0,,
8526,2021-01-06 10:33,DAY6,Time of Our Life,205575,DAY6:Time of Our Life,0,,
8527,2021-01-06 10:37,BTS,Life Goes On,207481,BTS:Life Goes On,0,,
8528,2021-01-06 10:41,BTS,Spring Day,274097,BTS:Spring Day,0,,
8529,2021-01-06 10:44,Stray Kids,Back Door,189286,Stray Kids:Back Door,0,,
8530,2021-01-06 10:48,NCT U,Make A Wish (Birthday Song),229400,NCT U:Make A Wish (Birthday Song),0,,
